pays,orange,aqua,black,blue,green,gray,lime,maroon,navy,olive,red,silver,teal,white,yellow
Pakistan,,,67.33333333333333,,0.35185185185185186,1.623456790123457,,,,,,0.3888888888888889,0.1419753086419753,30.160493827160494,
Palau,0.09876543209876543,82.17283950617283,,,,,,,,,,0.2716049382716049,0.04938271604938271,,17.40740740740741
Palestine,,,29.567901234567902,,29.567901234567902,0.06172839506172839,,0.30864197530864196,,0.06172839506172839,16.358024691358025,0.12345679012345678,,23.950617283950617,
Panama,0.024691358024691357,,,,,0.1728395061728395,,,26.098765432098766,,26.098765432098766,0.36419753086419754,0.024691358024691357,47.21604938271605,
Papua New Guinea,5.444444444444445,,48.04938271604938,,,0.4506172839506173,,0.5246913580246914,,0.4444444444444444,43.629629629629626,0.2839506172839506,,1.1728395061728396,
Paraguay,0.037037037037037035,,0.030864197530864196,,0.12962962962962962,0.845679012345679,,,33.333333333333336,,33.333333333333336,1.0802469135802468,0.06790123456790123,31.141975308641975,
Peru,,,,,,,,,,,66.66666666666667,,,33.333333333333336,
The Philippines,3.4444444444444446,,,,,0.16666666666666666,,,38.95679012345679,,39.04938271604938,0.4382716049382716,0.11728395061728394,17.82716049382716,
Poland,,,,,,,,,,,50.0,,,50.0,
Portugal,2.2901234567901234,,,,34.333333333333336,0.7839506172839507,,0.012345679012345678,0.08641975308641975,2.462962962962963,56.47530864197531,0.4567901234567901,0.25308641975308643,1.5493827160493827,1.2962962962962963
Qatar,,,,,,0.6419753086419753,,67.1358024691358,,,,0.6790123456790124,,31.54320987654321,
Romania,33.333333333333336,,,,,,,,33.333333333333336,,33.333333333333336,,,,
Russia,,,,,,1.1111111111111112,,,32.22222222222222,,33.333333333333336,,,33.333333333333336,
Rwanda,25.117283950617285,,,,25.555555555555557,0.8333333333333334,,,,0.3271604938271605,,0.21604938271604937,47.95061728395062,,
Saint Kitts And Nevis,10.691358024691358,,29.38888888888889,,27.87037037037037,0.3888888888888889,,0.2777777777777778,,0.7901234567901234,27.901234567901234,0.3333333333333333,,2.3580246913580245,
Saint Lucia,6.7407407407407405,,3.4444444444444446,,,0.25925925925925924,,0.024691358024691357,,0.12345679012345678,,86.51851851851852,,2.888888888888889,
Saint Vincent And The Grenadines,41.93827160493827,,,,30.876543209876544,,,,24.444444444444443,2.740740740740741,,,,,
Samoa,,,,,,0.25925925925925924,,,23.679012345679013,,75.0,0.2777777777777778,0.2037037037037037,0.5802469135802469,
San Marino,0.9629629629629629,,0.9938271604938271,,1.1419753086419753,4.222222222222222,,0.24691358024691357,0.04938271604938271,3.3641975308641974,,44.34567901234568,0.9197530864197531,43.75308641975309,
São Tomé And Príncipe,31.555555555555557,,2.197530864197531,,51.54320987654321,,,0.06172839506172839,,2.419753086419753,12.222222222222221,,,,
Saudi Arabia,,,,,90.24074074074075,1.3580246913580247,,,,,,2.6790123456790123,1.345679012345679,4.3765432098765435,
Senegal,0.18518518518518517,,,,35.333333333333336,,,,,0.2345679012345679,33.333333333333336,,,,30.91358024691358
Serbia,1.382716049382716,,,,,3.302469135802469,,0.35802469135802467,23.833333333333332,1.6666666666666667,32.46913580246913,4.209876543209877,0.018518518518518517,32.75925925925926,
Seychelles,16.30246913580247,,,,16.296296296296298,0.7839506172839507,,,16.47530864197531,0.19135802469135801,32.96296296296296,0.9012345679012346,0.3395061728395062,15.746913580246913,
Sierra Leone,,,,,,,33.333333333333336,,,,,1.1111111111111112,33.333333333333336,32.22222222222222,
Singapore,0.345679012345679,,,,,,,,,,46.54938271604938,0.8580246913580247,,52.24691358024691,
Slovakia,0.30246913580246915,,,,,2.067901234567901,,0.006172839506172839,0.1728395061728395,,38.80864197530864,0.7901234567901234,24.876543209876544,32.97530864197531,
